project_full_name,fix_commit_hash,buggy_commit_hash,bug_id,bug_type,buggy_file_path,action
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/simulators/statevector/statevector_state_chunk.hpp,M
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/transpile/cacheblocking.hpp,M
Qiskit/qiskit-aer,1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad,1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad^1,1096,Quantum,src/transpile/fusion.hpp,M
PennyLaneAI/pennylane,c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a,c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a^1,110,Classical,pennylane/devices/default_qubit_tf.py,M
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,.travis.yml,M
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,README.rst,M
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,docs/conf.py,M
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,docs/examples.rst,M
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,docs/tutorials.rst,M
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,projectq/_version.py,M
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,projectq/backends/_ibm/_ibm_http_client.py,M
ProjectQ-Framework/ProjectQ,dd34daa10b91e68b89be14c6b375f869ac9d04a2,dd34daa10b91e68b89be14c6b375f869ac9d04a2^1,1105,Classical,projectq/types/_qubit.py,M
ProjectQ-Framework/ProjectQ,0e2113b64d616ec303bfff22a38af05a74583bbe,0e2113b64d616ec303bfff22a38af05a74583bbe^1,1107,Quantum,projectq/ops/_basics.py,M
ProjectQ-Framework/ProjectQ,0e2113b64d616ec303bfff22a38af05a74583bbe,0e2113b64d616ec303bfff22a38af05a74583bbe^1,1107,Quantum,projectq/ops/_metagates.py,M
ProjectQ-Framework/ProjectQ,75e7a7fefea232e61327e7d7a7b09345e494c655,75e7a7fefea232e61327e7d7a7b09345e494c655^1,1108,Classical,setup.py,M
ProjectQ-Framework/ProjectQ,81f94d479612418552d3b1d628d661dac6a1206c,81f94d479612418552d3b1d628d661dac6a1206c^1,1110,Classical,projectq/ops/_time_evolution.py,M
ProjectQ-Framework/ProjectQ,144c8d1cc06214ff4be2a4ed79d5fa9753c8265b,144c8d1cc06214ff4be2a4ed79d5fa9753c8265b^1,1111,Classical,projectq/meta/_loop.py,M
ProjectQ-Framework/ProjectQ,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad^1,1112,Classical,docs/tutorials.rst,M
ProjectQ-Framework/ProjectQ,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad^1,1112,Classical,setup.py,M
ProjectQ-Framework/ProjectQ,c703417beb3c97f73514d6f39320251a1c7dadab,c703417beb3c97f73514d6f39320251a1c7dadab^1,1115,Quantum,.travis.yml,M
ProjectQ-Framework/ProjectQ,c703417beb3c97f73514d6f39320251a1c7dadab,c703417beb3c97f73514d6f39320251a1c7dadab^1,1115,Quantum,README.rst,M
ProjectQ-Framework/ProjectQ,c703417beb3c97f73514d6f39320251a1c7dadab,c703417beb3c97f73514d6f39320251a1c7dadab^1,1115,Quantum,projectq/setups/decompositions/arb1qubit2rzandry.py,M
ProjectQ-Framework/ProjectQ,62d3fb11578a06131b0105b220651520b2a7338b,62d3fb11578a06131b0105b220651520b2a7338b^1,1116,Quantum,projectq/backends/_sim/_cppkernels/simulator.hpp,M
ProjectQ-Framework/ProjectQ,62d3fb11578a06131b0105b220651520b2a7338b,62d3fb11578a06131b0105b220651520b2a7338b^1,1116,Quantum,projectq/backends/_sim/_pysim.py,M
ProjectQ-Framework/ProjectQ,11f45873e20c2fa78fab2b59b5b460ac5f595fc6,11f45873e20c2fa78fab2b59b5b460ac5f595fc6^1,1118,Classical,docs/projectq.ops.rst,M
ProjectQ-Framework/ProjectQ,11f45873e20c2fa78fab2b59b5b460ac5f595fc6,11f45873e20c2fa78fab2b59b5b460ac5f595fc6^1,1118,Classical,projectq/setups/decompositions/stateprep2cnot.py,M
ProjectQ-Framework/ProjectQ,67ce24bd5d4aa06eb43c8e094c551c89567ef57d,67ce24bd5d4aa06eb43c8e094c551c89567ef57d^1,1121,Quantum,projectq/backends/_circuits/_drawer_matplotlib.py,M
ProjectQ-Framework/ProjectQ,67ce24bd5d4aa06eb43c8e094c551c89567ef57d,67ce24bd5d4aa06eb43c8e094c551c89567ef57d^1,1121,Quantum,projectq/backends/_circuits/_plot.py,M
ProjectQ-Framework/ProjectQ,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4^1,1122,Classical,README.rst,M
ProjectQ-Framework/ProjectQ,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4^1,1122,Classical,examples/ibm.py,M
ProjectQ-Framework/ProjectQ,c15f3b25dd2efc426507360a19b6b1dded2ec37e,c15f3b25dd2efc426507360a19b6b1dded2ec37e^1,1123,Classical,setup.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,.pre-commit-config.yaml,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,CHANGELOG.md,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,docs/conf.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,docs/package_description.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/aqt.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/bellpair_circuit.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/gate_zoo.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/grover.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/hws4.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/hws6.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/ibm.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/ionq.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/ionq_bv.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/ionq_half_adder.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/quantum_random_numbers.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/quantum_random_numbers_ibm.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/shor.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/teleport.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/teleport_circuit.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,examples/unitary_simulator.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_aqt/_aqt.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_aqt/_aqt_http_client.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_awsbraket/_awsbraket.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_awsbraket/_awsbraket_boto3_client.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_circuits/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_circuits/_drawer.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_circuits/_drawer_matplotlib.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_circuits/_plot.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_circuits/_to_latex.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_ionq/_ionq_exc.py,R070
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_ibm/_ibm.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_ibm/_ibm_http_client.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_ionq/_ionq.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_ionq/_ionq_http_client.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_ionq/_ionq_mapper.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_printer.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_resource.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_sim/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_sim/_classical_simulator.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_sim/_pysim.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_sim/_simulator.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/backends/_unitary.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_basicmapper.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_basics.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_cmdmodifier.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_ibm5qubitmapper.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_linearmapper.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_main.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_manualmapper.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_optimize.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_replacer/_decomposition_rule.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_replacer/_decomposition_rule_set.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_replacer/_replacer.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_swapandcnotflipper.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_tagremover.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/cengines/_twodmapper.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/hist/_histogram.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/math/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/math/_constantmath.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/math/_default_rules.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/math/_gates.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/math/_quantummath.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/revkit/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/revkit/_control_function.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/revkit/_permutation.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/revkit/_phase.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/libs/revkit/_utils.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/_compute.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/_control.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/_dagger.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/_dirtyqubit.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/_logicalqubit.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/_loop.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/meta/_util.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/ops/__init__.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/ops/_basics.py,M
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,projectq/ops/_command.py,M
